"filename", "language", "JavaScript", "JSON", "JSON with Comments", "pip requirements", "Markdown", "Python", "MS SQL", "TypeScript", "HTML", "XML", "CSS", "JavaScript JSX", "TypeScript JSX", "comment", "blank", "total"
"d:\Hackathons\Hackify 2.0\criminus\OpenCV\detect_gender_webcam.py", "Python", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 21, 34, 145
"d:\Hackathons\Hackify 2.0\criminus\OpenCV\flask_app.py", "Python", 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 18, 59, 275
"d:\Hackathons\Hackify 2.0\criminus\OpenCV\requirements.txt", "pip requirements", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Hackathons\Hackify 2.0\criminus\OpenCV\templates\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 472, 0, 0, 0, 0, 3, 71, 546
"d:\Hackathons\Hackify 2.0\criminus\README.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 53
"d:\Hackathons\Hackify 2.0\criminus\eslint.config.mjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"d:\Hackathons\Hackify 2.0\criminus\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Hackathons\Hackify 2.0\criminus\next.config.mjs", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 16
"d:\Hackathons\Hackify 2.0\criminus\package-lock.json", "JSON", 0, 13481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13482
"d:\Hackathons\Hackify 2.0\criminus\package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"d:\Hackathons\Hackify 2.0\criminus\postcss.config.mjs", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Hackathons\Hackify 2.0\criminus\public\assets\child_safety.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Hackathons\Hackify 2.0\criminus\public\assets\gender_detect.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Hackathons\Hackify 2.0\criminus\public\assets\heatmap.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Hackathons\Hackify 2.0\criminus\public\assets\lead_prediction.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 2, 14
"d:\Hackathons\Hackify 2.0\criminus\public\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Hackathons\Hackify 2.0\criminus\public\assets\report.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Hackathons\Hackify 2.0\criminus\public\assets\scam.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Hackathons\Hackify 2.0\criminus\public\manifest.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Hackathons\Hackify 2.0\criminus\public\sw-register.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Hackathons\Hackify 2.0\criminus\public\sw.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Hackathons\Hackify 2.0\criminus\public\workbox-4754cb34.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Hackathons\Hackify 2.0\criminus\src\app\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1042, 0, 0, 38, 169, 1249
